"Site Crawled","https://knightlogics.com/"
"Start Date","2026-05-11"
"Start Time","23:30:52"
"Last Modified Date","2026-05-11"
"Last Modified Time","23:31:03"
"Elapsed","00:00:10"
"Report Date","2026-05-11"
"Report Time","23:31:03"
""
"Summary","URLs","% of Total","Total URLs","Total URLs Description"
"<video> or <audio> Elements Must Not Auto-play","0","0.00%","41",""
"Buttons Require Discernible Text","0","0.00%","41",""
"Input Buttons Require Discernible Text","0","0.00%","41",""
"Inline Text Spacing Must Be Adjustable","0","0.00%","41",""
"Links Must Be Distinguishable","0","0.00%","41",""
"Links Require Discernible Text","0","0.00%","41",""
"Links With Same Accessible Name","0","0.00%","41",""
"Select Element Requires Accessible Name","0","0.00%","41",""
"Summary Elements Require Discernible Text","0","0.00%","41",""
"Deprecated <marquee> Element Must Not Be Used","0","0.00%","41",""
"<blink> Elements Deprecated & Must Not Be Used","0","0.00%","41",""
"Text Requires Higher Color Contrast Ratio","0","0.00%","41",""
"Text Requires Higher Color Contrast to Background","0","0.00%","41",""
"Touch Targets Require Sufficient Size & Spacing","0","0.00%","41",""
"Interactive Controls Must Not Be Nested","0","0.00%","41",""
"List Items Must Be Contained In List Elements","0","0.00%","41",""
"Lists Must Only Contain <li> Content Elements","0","0.00%","41",""
"<dl> Must Only Have Ordered <dt> & <dd> Groups","0","0.00%","41",""
"<dt> & <dd> Elements Must Be Contained by <dl>","0","0.00%","41",""
"<th> Element Requires Associated Data Cells","0","0.00%","41",""
"Table Header Attr Must Refer To Cell In Same Table","0","0.00%","41",""
"Table Headers Require Discernible Text","0","0.00%","41",""
"Table With Identical Summary & Caption Text","0","0.00%","41",""
"Scope Attribute Should Be Used Correctly On Tables","0","0.00%","41",""
""
"Custom Search"
"All","41","100.00%","41","Internal HTML pages with 2xx response"
""
"Custom Extraction"
"All","41","100.00%","41","Internal HTML pages with 2xx response"
""
"Custom JavaScript"
"All","69","100.00%","69","Internal HTML pages with 2xx response"
""
"Analytics"
"All","41","100.00%","41","Internal URLs with associated Google Analytics data"
